Depth,ScanRows,ScanColumns,ScanLargest,BuildSquare,SpiralIn,SpiralInSquare,SpiralOut,SpiralOutSquare,FrameFirstRows,FrameFirstColumns,FrameLastRows,FrameLastColumns
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.6020599913279624,0.6020599913279624,0.6020599913279624,0.6020599913279624,0.6020599913279624,0.6020599913279624,2.8943160626844384,2.8943160626844384,0.6020599913279624,0.6020599913279624,2.8943160626844384,2.8943160626844384
2,1.651278013998144,1.651278013998144,1.651278013998144,1.651278013998144,1.651278013998144,1.651278013998144,4.701497795283474,4.701497795283474,1.651278013998144,1.651278013998144,4.701497795283474,4.701497795283474
3,2.693169458306109,2.693169458306109,2.693169458306109,2.693169458306109,2.693169458306109,2.693169458306109,6.506460465543714,6.506460465543714,2.693169458306109,2.693169458306109,6.506460465543714,6.506460465543714
4,3.7275907910639683,3.7275907910639683,3.7275907910639683,3.417673599901155,3.7275907910639683,3.7275907910639683,7.22432086025694,7.22432086025694,3.7275907910639683,3.7275907910639683,8.309192468637642,8.309192468637642
5,4.75439395872961,4.75439395872961,4.75439395872961,4.452094932659014,4.75439395872961,4.75439395872961,9.024824096312486,9.024824096312486,4.75439395872961,4.75439395872961,10.10968208028845,10.10968208028845
6,5.773426093478086,5.773426093478086,5.773426093478086,5.174432629726983,5.773426093478086,5.773426093478086,9.738242104496411,9.738242104496411,5.773426093478086,5.773426093478086,11.907917454888175,11.907917454888175
7,6.784529198958364,6.784529198958364,6.784529198958364,6.201235797392624,6.784529198958364,6.784529198958364,11.534238203609299,11.534238203609299,6.784529198958364,6.784529198958364,13.70388662357638,13.70388662357638
8,7.787539813810417,7.787539813810417,7.787539813810417,6.921395111082262,7.787539813810417,7.787539813810417,12.243165063137695,12.243165063137695,7.787539813810417,7.787539813810417,15.49757749227841,15.49757749227841
9,8.782288650744597,8.782288650744597,8.782288650744597,7.639363991450917,8.782288650744597,8.782288650744597,12.949840954875803,12.949840954875803,8.782288650744597,8.782288650744597,17.28897783970215,17.28897783970215
10,9.768600208682543,9.768600208682543,9.768600208682543,8.658396126199394,9.768600208682543,9.768600208682543,14.738991295023276,14.738991295023276,9.768600208682543,9.768600208682543,19.07807531529209,19.07807531529209
11,10.746292355121014,10.746292355121014,10.746292355121014,9.374162410258094,10.746292355121014,10.746292355121014,15.441100845207988,15.441100845207988,10.746292355121014,10.746292355121014,20.86485743713968,20.86485743713968
12,11.71517587549953,11.71517587549953,11.71517587549953,10.087713819980248,11.71517587549953,11.71517587549953,16.140920953239487,16.140920953239487,11.71517587549953,11.71517587549953,22.649311589848736,22.649311589848736
13,12.675053985919977,12.675053985919977,12.675053985919977,11.098816925460525,12.675053985919977,12.675053985919977,17.92311222842595,17.92311222842595,12.675053985919977,12.675053985919977,24.431425022354617,24.431425022354617
14,13.6257218050727,13.6257218050727,13.6257218050727,11.810141065753289,13.6257218050727,13.6257218050727,18.618288471158976,18.618288471158976,13.6257218050727,13.6257218050727,26.211184845696025,26.211184845696025
15,14.56696578065461,14.56696578065461,14.56696578065461,12.519225422390416,14.56696578065461,14.56696578065461,19.311135612058315,19.311135612058315,14.56696578065461,14.56696578065461,27.98857803073802,27.98857803073802
16,14.352435029228825,14.352435029228825,14.352435029228825,13.2260573599055,14.352435029228825,14.352435029228825,20.00164008100954,20.00164008100954,14.352435029228825,14.352435029228825,28.678879158071084,28.678879158071084
17,15.284618231136502,15.284618231136502,15.284618231136502,14.229067974757553,15.284618231136502,15.284618231136502,21.774374190040547,21.774374190040547,15.284618231136502,15.284618231136502,29.366825751425793,29.366825751425793
18,16.009122372731547,16.009122372731547,16.206936801579012,14.933634734296644,16.206936801579012,16.206936801579012,22.460127479798913,22.460127479798913,16.206936801579012,16.206936801579012,30.05240393540828,30.05240393540828
19,16.731460069799517,16.731460069799517,17.11914874047892,15.635923431428832,17.11914874047892,17.11914874047892,23.143496761213825,23.143496761213825,17.11914874047892,17.11914874047892,30.735599690631446,30.735599690631446
20,17.451619383489152,17.451619383489152,18.021000628543742,16.335921053913886,18.021000628543742,18.021000628543742,23.824467888828117,23.824467888828117,18.021000628543742,18.021000628543742,31.416398851075293,31.416398851075293
21,18.16958826385781,18.16958826385781,18.912226744771843,17.330669890848064,18.912226744771843,18.912226744771843,25.587527565856533,25.587527565856533,18.912226744771843,18.912226744771843,32.094787101391404,32.094787101391404
