Depth,Middle Probability,Border Probability,Corner Combinations,Edge Combinations,Interior Combinations
30,-37.15167888817328,-20.72356030846663,,48.24624971132306,85.81325327541936
31,-38.38979120596517,-21.402866847909337,,49.661223059293874,88.63542135478735
32,-39.627886487489235,-22.081050322127112,,51.05916306796591,91.4549652903292
33,-40.865964806884364,-22.758039892924913,,52.43937430967752,94.27186912970484
34,-42.104026237830396,-23.43375640757516,,53.80110214569511,97.08611672543674
35,-43.34207085355209,-24.108111120745093,,55.14352482651732,99.8976917313073
36,-44.580098726822655,-24.781004156336152,,56.46574412125124,102.70657759866714
37,-45.818109929966795,-25.452322643258583,,57.76677411691522,105.51275757265103
38,-47.05610453486446,-26.12193843871499,,59.045527717868055,108.31621468829945
39,-48.29408261295367,-26.78970532452223,,60.30080022297136,111.11693176658184
40,-49.53204423523405,-27.455455523023033,,61.53124914434963,113.91489141031906
41,-50.76998947227048,-28.118995324164885,,62.735369127005555,116.7100760000015
42,-52.0079183941954,-28.780099536530727,,63.911460386061236,119.50246768949972
43,-53.24583107071285,-29.438504360140527,,65.05758842173948,122.29204840166415
44,-54.4837275711015,-30.093898107706835,,66.17153177404631,125.07879982380973
45,-55.721607964217725,-30.745908940417735,,67.25071302009394,127.86270340308249
46,-56.95947231849843,-31.39408837685498,,68.29210570525217,130.64374034170362
47,-58.19732070196477,-32.03788867655332,,69.29210570525217,133.42189159208726
48,-59.43515318222504,-32.676631100952505,,70.2463482146915,136.1971378518275
49,-60.672969826477356,-33.309460140758404,,71.14943820168344,138.96945955855045
50,-61.91077070151343,-33.93527532193188,,71.99453624169769,141.73883688462658
51,-63.14855587372071,-34.55262564508244,,72.77268749208133,144.50524973173899
52,-64.38632540908608,-35.15953903826684,,73.47165749641735,147.26867772530193
53,-65.62407937319847,-35.75323463747907,,74.07371748774531,150.02910020872514
54,-66.86181783125213,-36.329619463682846,,74.55083874246498,152.78649623751815
55,-68.09954084804926,-36.882390296038594,,74.85186873812896,155.54084457322918
56,-69.33724848800259,-37.40143794082661,,74.85186873812896,158.29212367721252
57,-70.57494081513937,-37.87007013084602,,,161.0403117042187
58,-71.8126178931031,-38.25995826293391,,,163.78538649580076
59,-73.05027978515653,-38.51849002897697,,,166.52732557352996
60,-74.28792655418516,-38.51849002897697,,,169.26610613201433
61,-75.52555826269975,,,,172.0017050317125
62,-76.76317497283833,,,,174.73409879153547
63,-78.00077674636981,,,,177.46326358122823
64,-79.23836364469668,,,,180.18917521352327
65,-80.47593572885734,,,,182.9118091360571
66,-81.71349305952845,,,,185.63114042304082
67,-82.95103569702826,,,,188.34714376667563
68,-84.18856370131942,,,,191.05979346830284
69,-85.4260771320105,,,,193.76906342927867
70,-86.6635760483598,,,,196.4749271415626
71,-87.90106050927727,,,,199.17735767800812
72,-89.13853057332676,,,,201.87632768234414
73,-90.37598629872946,,,,204.57180935883434
74,-91.61342774336572,,,,207.2637744616017
75,-92.85085496477757,,,,209.95219428360443
76,-94.08826802017165,,,,212.63703964524885
77,-95.32566696642107,,,,215.31828088262444
78,-96.56305186006807,,,,217.99588783534492
79,-97.80042275732666,,,,220.669829833979
80,-99.03777971408454,,,,223.34007568705314
81,-100.2751227859062,,,,226.00659366760803
82,-101.51245202803437,,,,228.6693514992896
83,-102.74976749539303,,,,231.32831634195404
84,-103.98706924258954,,,,233.98345477676543
