Depth,ScanRows,ScanColumns,ScanLargest,BuildSquare,SpiralIn,SpiralInSquare,SpiralOut,SpiralOutSquare,FrameFirstRows,FrameFirstColumns,FrameLastRows,FrameLastColumns
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.6020599913279624,0.6020599913279624,0.6020599913279624,0.6020599913279624,0.6020599913279624,0.6020599913279624,2.4082399653118496,2.4082399653118496,0.6020599913279624,0.6020599913279624,2.4082399653118496,2.4082399653118496
2,1.3563328041308869,1.3563328041308869,1.3563328041308869,1.3563328041308869,1.3563328041308869,1.3563328041308869,4.026670756554715,4.026670756554715,1.3563328041308869,1.3563328041308869,4.026670756554715,4.026670756554715
3,2.0967832054563127,2.0967832054563127,2.0967832054563127,2.0967832054563127,2.0967832054563127,2.0967832054563127,5.638170948359486,5.638170948359486,2.0967832054563127,2.0967832054563127,5.638170948359486,5.638170948359486
4,2.823143386440263,2.823143386440263,2.823143386440263,2.9391019322080383,2.823143386440263,2.823143386440263,6.459712026135087,6.459712026135087,2.823143386440263,2.823143386440263,7.242627407374712,7.242627407374712
5,3.5350980561793346,3.5350980561793346,3.5350980561793346,3.6654621131919884,3.5350980561793346,3.5350980561793346,8.05702574011643,8.05702574011643,3.5350980561793346,3.5350980561793346,8.839923267846693,8.839923267846693
6,4.232286093912999,4.232286093912999,4.232286093912999,4.501013905410404,4.232286093912999,4.232286093912999,8.864195732123212,8.864195732123212,4.232286093912999,4.232286093912999,10.429937743086535,10.429937743086535
7,4.914300819248515,4.914300819248515,4.914300819248515,5.212968575149476,4.914300819248515,4.914300819248515,10.44683898246408,10.44683898246408,4.914300819248515,4.914300819248515,12.012545924065016,12.012545924065016
8,5.580689077922726,5.580689077922726,5.580689077922726,6.04164292433301,5.580689077922726,5.580689077922726,11.23913629262049,11.23913629262049,5.580689077922726,5.580689077922726,13.587618564014566,13.587618564014566
9,6.230949250246839,6.230949250246839,6.230949250246839,6.863325809070803,6.230949250246839,6.230949250246839,12.023815231077787,12.023815231077787,6.230949250246839,6.230949250246839,15.155021847798697,15.155021847798697
10,5.961438229412847,5.961438229412847,5.961438229412847,7.560513846804468,5.961438229412847,5.961438229412847,13.583478756487445,13.583478756487445,5.961438229412847,5.961438229412847,15.93180699177686,15.93180699177686
11,6.596210666915459,6.596210666915459,6.596210666915459,8.375087551672031,6.596210666915459,6.596210666915459,14.352464409263817,14.352464409263817,6.596210666915459,6.596210666915459,16.700691663050925,16.700691663050925
